wikidata_id,name,category,coordinates,image_url,country,wikipedia_url
Q924954,"Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",airports,Point(22.025636111 37.068383333),http://commons.wikimedia.org/wiki/Special:FilePath/Kalamata%20Airport.jpg,Greece,https://en.wikipedia.org/wiki/Kalamata_International_Airport
Q926029,Deputado Luís Eduardo Magalhães International Airport,airports,Point(-38.3225 -12.90861),http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20Aeroporto%20de%20Salvador2.jpg,Brazil,https://en.wikipedia.org/wiki/Salvador_Bahia_Airport
Q929859,Orlando International Airport,airports,Point(-81.308889 28.429444),http://commons.wikimedia.org/wiki/Special:FilePath/Orlando%20International%20Airport%20terminal%20from%20arriving%20airplane.jpg,United States,https://en.wikipedia.org/wiki/Orlando_International_Airport
Q930733,Toncontín International Airport,airports,Point(-87.217588888 14.061094444),http://commons.wikimedia.org/wiki/Special:FilePath/ToncontinTerminal.jpg,Honduras,https://en.wikipedia.org/wiki/Toncont%C3%ADn_International_Airport
Q932025,Guadalajara-M. Hidalgo y Costilla,airports,Point(-103.311145 20.521837),http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20del%20Aeropuerto%20de%20Guadalajara.jpg,Mexico,https://en.wikipedia.org/wiki/Guadalajara_International_Airport
Q1547,Lyon–Saint-Exupéry Airport,airports,Point(5.081111111 45.725555555),http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20d%27une%20partie%20de%20l%27a%C3%A9roport%20de%20Lyon%20Saint-Exup%C3%A9ry%20et%20de%20la%20gare%20TGV%20%28septembre%202022%29.jpg,France,https://en.wikipedia.org/wiki/Lyon%E2%80%93Saint-Exup%C3%A9ry_Airport
Q8685,John F. Kennedy International Airport,airports,Point(-73.78 40.64),http://commons.wikimedia.org/wiki/Special:FilePath/JFK%20Aerial%20Nov%2014%202018.jpg,United States,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport
Q8691,London Heathrow Airport,airports,Point(-0.461389 51.4775),http://commons.wikimedia.org/wiki/Special:FilePath/London%20-%20Heathrow%20%28LHR%20-%20EGLL%29%20AN1572653.jpg,United Kingdom,https://en.wikipedia.org/wiki/Heathrow_Airport
Q8688,San Francisco International Airport,airports,Point(-122.375 37.618888888),http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20San%20Francisco%20International%20Airport%202010.jpg,United States,https://en.wikipedia.org/wiki/San_Francisco_International_Airport
Q8694,Manchester Airport,airports,Point(-2.275 53.353889),http://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20Airport.jpg,United Kingdom,https://en.wikipedia.org/wiki/Manchester_Airport
Q8699,Leeds Bradford Airport,airports,Point(-1.660555555 53.865833333),http://commons.wikimedia.org/wiki/Special:FilePath/LBIA%20Airside%202.jpg,United Kingdom,https://en.wikipedia.org/wiki/Leeds_Bradford_Airport
Q8703,London Gatwick Airport,airports,Point(-0.190277777 51.147222222),http://commons.wikimedia.org/wiki/Special:FilePath/Gatwick%20Airport%20%2850850159593%29.jpg,United Kingdom,https://en.wikipedia.org/wiki/Gatwick_Airport
Q8709,London Stansted Airport,airports,Point(0.235 51.885),http://commons.wikimedia.org/wiki/Special:FilePath/Stansted%20Airport%20-%20geograph.org.uk%20-%201710808.jpg,United Kingdom,https://en.wikipedia.org/wiki/London_Stansted_Airport
Q8712,London Luton Airport,airports,Point(-0.368333 51.874722),http://commons.wikimedia.org/wiki/Special:FilePath/Luton%20Airport%20from%20the%20air%20%28geograph%207106190%29.jpg,United Kingdom,https://en.wikipedia.org/wiki/Luton_Airport
Q8719,Birmingham Airport,airports,Point(-1.748055555 52.453888888),http://commons.wikimedia.org/wiki/Special:FilePath/Birmingham%20Airport%2C%20England%2C%20Feb.%202008.jpg,United Kingdom,https://en.wikipedia.org/wiki/Birmingham_Airport
Q8716,Edinburgh Airport,airports,Point(-3.3725 55.95),http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Airport%201.jpg,United Kingdom,https://en.wikipedia.org/wiki/Edinburgh_Airport
Q8721,Glasgow Airport,airports,Point(-4.433055555 55.871944444),http://commons.wikimedia.org/wiki/Special:FilePath/GlasgowAirportFromAir.jpg,United Kingdom,https://en.wikipedia.org/wiki/Glasgow_Airport
Q8727,Liverpool John Lennon Airport,airports,Point(-2.849722222 53.333611111),http://commons.wikimedia.org/wiki/Special:FilePath/John%20Lennon%20Airport%20Lpool.jpg,United Kingdom,https://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport
Q8725,Bristol Airport,airports,Point(-2.719167 51.382778),http://commons.wikimedia.org/wiki/Special:FilePath/N%20Side%20Road%2C%20Bristol%20Airport%20-%20geograph.org.uk%20-%203737093.jpg,United Kingdom,https://en.wikipedia.org/wiki/Bristol_Airport
Q8731,Los Angeles International Airport,airports,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX%20LA.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport
Q8731,Los Angeles International Airport,airports,Point(-118.408056 33.9425),http://commons.wikimedia.org/wiki/Special:FilePath/LAX2.jpg,United States,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport
Q8975,Newcastle International Airport,airports,Point(-1.691666666 55.0375),http://commons.wikimedia.org/wiki/Special:FilePath/Newcastle%20International%20Airport%20-%20geograph.org.uk%20-%20308047.jpg,United Kingdom,https://en.wikipedia.org/wiki/Newcastle_International_Airport
Q8979,Belfast International Airport,airports,Point(-6.215833 54.6575),http://commons.wikimedia.org/wiki/Special:FilePath/Belfast%20International%20Airport%20-%20geograph.org.uk%20-%20119152.jpg,United Kingdom,https://en.wikipedia.org/wiki/Belfast_International_Airport
Q8977,East Midlands Airport,airports,Point(-1.327777777 52.830555555),http://commons.wikimedia.org/wiki/Special:FilePath/East%20Midlands2.JPG,United Kingdom,https://en.wikipedia.org/wiki/East_Midlands_Airport
Q8982,London City Airport,airports,Point(0.055278 51.505278),http://commons.wikimedia.org/wiki/Special:FilePath/London%20City%20Airport%20Zwart.jpg,United Kingdom,https://en.wikipedia.org/wiki/London_City_Airport
Q8981,Aberdeen Airport,airports,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20-%20geograph.org.uk%20-%201470090.jpg,United Kingdom,https://en.wikipedia.org/wiki/Aberdeen_Airport
Q8981,Aberdeen Airport,airports,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20Control%20Tower%20-%20geograph.org.uk%20-%20707216.jpg,United Kingdom,https://en.wikipedia.org/wiki/Aberdeen_Airport
Q8981,Aberdeen Airport,airports,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Aberdeen%20Airport%20terminal%20close%20up%2023-03-11.JPG,United Kingdom,https://en.wikipedia.org/wiki/Aberdeen_Airport
Q8981,Aberdeen Airport,airports,Point(-2.197778 57.201944),http://commons.wikimedia.org/wiki/Special:FilePath/Check-in%2C%20Aberdeen%20Airport%20-%20geograph.org.uk%20-%201753732.jpg,United Kingdom,https://en.wikipedia.org/wiki/Aberdeen_Airport
Q8987,George Best Belfast City Airport,airports,Point(-5.871233 54.615486),http://commons.wikimedia.org/wiki/Special:FilePath/George%20Best%20Belfast%20City%20Airport%20-%20geograph.org.uk%20-%20714574.jpg,United Kingdom,https://en.wikipedia.org/wiki/Belfast_City_Airport
Q8988,Southampton Airport,airports,Point(-1.356666666 50.950277777),http://commons.wikimedia.org/wiki/Special:FilePath/Southampton%20Airport%20Control%20Tower%20-%20geograph.org.uk%20-%2028103.jpg,United Kingdom,https://en.wikipedia.org/wiki/Southampton_Airport
Q8994,Cardiff Airport,airports,Point(-3.343333333 51.396666666),http://commons.wikimedia.org/wiki/Special:FilePath/CardiffInternationalAirport.jpg,United Kingdom,https://en.wikipedia.org/wiki/Cardiff_Airport
Q8992,Glasgow Prestwick Airport,airports,Point(-4.594444444 55.509444444),http://commons.wikimedia.org/wiki/Special:FilePath/GPAirport.jpg,United Kingdom,https://en.wikipedia.org/wiki/Glasgow_Prestwick_Airport
Q8999,Exeter Airport,airports,Point(-3.413888888 50.734444444),http://commons.wikimedia.org/wiki/Special:FilePath/ExeterAirportUK.jpg,United Kingdom,https://en.wikipedia.org/wiki/Exeter_Airport
Q8996,Doncaster Sheffield Airport,airports,Point(-1.004166666 53.475277777),http://commons.wikimedia.org/wiki/Special:FilePath/Robin%20Hood%20Airport%202006-04-02.jpg,United Kingdom,https://en.wikipedia.org/wiki/Doncaster_Sheffield_Airport
Q9064,Carrasco International Airport,airports,Point(-56.030833333 -34.838333333),http://commons.wikimedia.org/wiki/Special:FilePath/Airport%20%28235599585%29.jpeg,Uruguay,https://en.wikipedia.org/wiki/Carrasco_International_Airport
Q9071,Capitán de Corbeta Carlos A. Curbelo International Airport,airports,Point(-55.094166666 -34.855),http://commons.wikimedia.org/wiki/Special:FilePath/Flughafen%20Punta%20del%20Este.jpg,Uruguay,https://en.wikipedia.org/wiki/Capit%C3%A1n_de_Corbeta_Carlos_A._Curbelo_International_Airport
Q9074,Nueva Hespérides International Airport,airports,Point(-57.984166666 -31.434722222),http://commons.wikimedia.org/wiki/Special:FilePath/Salto%20Airport.jpg,Uruguay,https://en.wikipedia.org/wiki/Nueva_Hesp%C3%A9rides_International_Airport
Q9686,Berlin-Tempelhof Airport,airports,Point(13.401666666 52.473611111),http://commons.wikimedia.org/wiki/Special:FilePath/TempelhofExterior.jpg,Germany,https://en.wikipedia.org/wiki/Berlin_Tempelhof_Airport
Q9689,Berlin Schönefeld Airport,airports,Point(13.520556 52.378611),http://commons.wikimedia.org/wiki/Special:FilePath/FLUGHAFEN%20SCHONEFELD%20BERLIN%20GERMANY%20JUNE%202013%20%289025967808%29.jpg,Germany,https://en.wikipedia.org/wiki/Berlin_Sch%C3%B6nefeld_Airport
