wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude,description
Q7517507,Simcoe Street Tunnel,space,http://commons.wikimedia.org/wiki/Special:FilePath/Simcoe%20Street%20Tunnel%2C%20August%2030%202025.jpg,Canada,https://en.wikipedia.org/wiki/Simcoe_Street_Tunnel,43.6436,-79.3846,"road tunnel in Toronto, Ontario, Canada"
Q178617,Lower Fort Garry,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Lowerfortgarry.jpg,Canada,https://en.wikipedia.org/wiki/Lower_Fort_Garry,50.1122,-96.9319,"human settlement in St. Andrews, Manitoba, Canada"
Q515965,Fort Frontenac,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Frontenac.JPG,Canada,https://en.wikipedia.org/wiki/Fort_Frontenac,44.233333333,-76.478611111,"fort in Kingston, Ontario, Canada"
Q689727,Fort Garry,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Upper%20Fort%20Garry%20North%20Gate.JPG,Canada,https://en.wikipedia.org/wiki/Fort_Garry,49.887883,-97.13532,"human settlement in Winnipeg, Manitoba, Canada"
Q947530,Fort Douglas,markets,http://commons.wikimedia.org/wiki/Special:FilePath/Red%20River%20summer%20view%201822.jpg,Canada,https://en.wikipedia.org/wiki/Fort_Douglas_(Canada),49.904,-97.1319,"human settlement in Winnipeg, Manitoba, Canada"
Q180100,Taber Hill,history_and_mysteries,http://commons.wikimedia.org/wiki/Special:FilePath/Taber%20Hill.JPG,Canada,https://en.wikipedia.org/wiki/Taber_Hill,43.759,-79.235,cemetery
Q482315,Amílcar Cabral International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/GVAC%20SID.jpg,Cape Verde,https://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport,16.737588888,-22.950016666,"international airport serving Espargos, Cape Verde"
Q543335,Francisco Mendes International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Mendes%20Airport.jpg,Cape Verde,https://en.wikipedia.org/wiki/Francisco_Mendes_International_Airport,14.9261,-23.4948,airport
Q1778115,Monte Gordo,peaks,http://commons.wikimedia.org/wiki/Special:FilePath/Sao-nicolau%20route.jpg,Cape Verde,https://en.wikipedia.org/wiki/Monte_Gordo_(Cape_Verde),16.620833333,-24.354166666,"mountain on the island of São Nicolau, Cape Verde"
Q485117,Ilhéu de Cima,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Ilheu%20de%20Cima%20Cape%20Verde.jpg,Cape Verde,https://en.wikipedia.org/wiki/Ilh%C3%A9u_de_Cima,14.973333333,-24.635,island
Q489203,Ilhéu dos Pássaros,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Djeu3.jpg,Cape Verde,https://en.wikipedia.org/wiki/Ilh%C3%A9u_dos_P%C3%A1ssaros,16.9097,-25.0113,island in Cape Verde
Q490593,Ilhéu de Sal-Rei,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Ilh%C3%A9u%20de%20Sal%20Rei%20-%202022-07-12%20-%20Image%20213837.jpg,Cape Verde,https://en.wikipedia.org/wiki/Ilh%C3%A9u_de_Sal_Rei,16.173,-22.933,island
Q492509,São Nicolau,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Bela-vista-net-Sao%20Nicolau-map.jpg,Cape Verde,"https://en.wikipedia.org/wiki/S%C3%A3o_Nicolau,_Cape_Verde",16.615277777,-24.271111111,island of Cape Verde
Q492531,Santa Luzia,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Sana%20Luzia%20draw.jpg,Cape Verde,"https://en.wikipedia.org/wiki/Santa_Luzia,_Cape_Verde",16.761388888,-24.743888888,smallest and the only uninhabited island of Cape Verde
Q492528,Brava,islands,http://commons.wikimedia.org/wiki/Special:FilePath/Furna%20Cape%20Verde.jpg,Cape Verde,"https://en.wikipedia.org/wiki/Brava,_Cape_Verde",14.866666666,-24.7,smallest inhabited island of Cape Verde
Q492551,Maio,islands,http://commons.wikimedia.org/wiki/Special:FilePath/V%20DSC00097.JPG,Cape Verde,"https://en.wikipedia.org/wiki/Maio,_Cape_Verde",15.230555555,-23.156111111,island of Cape Verde
Q498958,Ilhéu Raso,islands,http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20Raso.jpg,Cape Verde,https://en.wikipedia.org/wiki/Ilh%C3%A9u_Raso,16.62,-24.586666666,"island, Cape Verde"
Q3751,Praia,cities,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20Harbor.jpg,Cape Verde,https://en.wikipedia.org/wiki/Praia,14.917719444,-23.509155555,capital of Cape Verde
Q569437,Estádio da Várzea,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20da%20V%C3%A1rzea.jpg,Cape Verde,https://en.wikipedia.org/wiki/Est%C3%A1dio_da_V%C3%A1rzea,14.916111,-23.512222,stadium
