wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q680905,345 California Center,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/345%20California%20Street.JPG,United States,https://en.wikipedia.org/wiki/345_California_Center,37.792536,-122.400431
Q683345,Prime Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Industriequartier%20-%20Prime%20Tower%202011-08-08%2013-44-40.JPG,Switzerland,https://en.wikipedia.org/wiki/Prime_Tower,47.3859,8.51689
Q80367,Triumph Palace,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Moscow%2005-2017%20img42%20Triumph%20Palace.jpg,Russia,https://en.wikipedia.org/wiki/Triumph_Palace,55.798333333,37.520833333
Q80495,Millennium Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Millennium%20Tower%20%281%29.JPG,Austria,https://en.wikipedia.org/wiki/Millennium_Tower_(Vienna),48.24,16.386944444
Q80499,Flame Towers,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Flame%20towers%20baku.jpg,Azerbaijan,https://en.wikipedia.org/wiki/Flame_Towers,40.359722222,49.826111111
Q80813,Jin Mao Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Jin%20Mao%20Tower.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Jin_Mao_Tower,31.237222222,121.501388888
Q80852,Shanghai World Financial Center,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%B8%8A%E6%B5%B7%E5%9B%BD%E9%99%85%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Shanghai_World_Financial_Center,31.236666666,121.502777777
Q83063,Petronas Towers,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Kuala%20Lumpur%20-%20panoramio%20%2818%29.jpg,Malaysia,https://en.wikipedia.org/wiki/Petronas_Towers,3.157777777,101.711666666
Q83101,Taipei 101,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/101.portrait.altonthompson.jpg,Taiwan,https://en.wikipedia.org/wiki/Taipei_101,25.033611111,121.564722222
Q112640,Central Plaza,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%B8%AD%E7%92%B0%E5%BB%A3%E5%A0%B4.JPG,People's Republic of China,https://en.wikipedia.org/wiki/Central_Plaza_(Hong_Kong),22.28,114.173611111
Q116002,200 West Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/200%20West%20Street%20-%20Lower%20Manhattan.jpg,United States,https://en.wikipedia.org/wiki/200_West_Street,40.7147,-74.0144
Q118214,Telekom Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Menara%20telekom.jpg,Malaysia,https://en.wikipedia.org/wiki/Telekom_Tower,3.115833,101.666111
Q120546,Empire Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Empire%20Tower%20at%20sunset.jpg,Thailand,https://en.wikipedia.org/wiki/Empire_Tower_(Bangkok),13.720277777,100.530277777
Q124304,Kista Science Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Kista%20Science%20Tower.jpg,Sweden,https://en.wikipedia.org/wiki/Kista_Science_Tower,59.402,17.947
Q125846,Q1 Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Q1%20Tower%2C%20Gold%20Coast%2C%20Queensland.jpg,Australia,https://en.wikipedia.org/wiki/Q1_(building),-28.006111111,153.429444444
Q127172,Sede do BankBoston,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Bank%20Boston%20-%20sede%20%27.JPG,Brazil,https://en.wikipedia.org/wiki/Sede_do_BankBoston,-23.617078,-46.699192
