wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q859354,Lassen Peak,volcanoes,Point(-121.505 40.488055555),http://commons.wikimedia.org/wiki/Special:FilePath/Lassen%20Peak%20in%20June%202020.jpg,United States,https://en.wikipedia.org/wiki/Lassen_Peak,99
Q126804,Mount Erciyes,volcanoes,Point(35.45 38.531666666),http://commons.wikimedia.org/wiki/Special:FilePath/Turkey.Mount%20Erciyes01.jpg,Turkey,https://en.wikipedia.org/wiki/Mount_Erciyes,98
Q1301834,Mount Scenery,volcanoes,Point(-63.239166666 17.635),http://commons.wikimedia.org/wiki/Special:FilePath/Saba%20with%20cloud%20cover.jpg,Netherlands,https://en.wikipedia.org/wiki/Mount_Scenery,93
Q695846,Nyamuragira,volcanoes,Point(29.2 -1.408333333),http://commons.wikimedia.org/wiki/Special:FilePath/Nyamulagira%20volcano%20%2820439939664%29.jpg,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Nyamuragira,88
Q839630,Koryaksky,volcanoes,Point(158.683333333 53.316666666),http://commons.wikimedia.org/wiki/Special:FilePath/D0807I14-HarbourTour.jpg,Russia,https://en.wikipedia.org/wiki/Koryaksky,84
Q14081,Chimborazo,volcanoes,Point(-78.8175 -1.469166666),http://commons.wikimedia.org/wiki/Special:FilePath/Volc%C3%A1n%20Chimborazo%20desde%20Riobamba.jpg,Ecuador,https://en.wikipedia.org/wiki/Chimborazo,84
Q134108,Merapi,volcanoes,Point(110.446111111 -7.541388888),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Merapi%20Not%20Just%20a%20Legend%20and%20Mythology.jpg,Indonesia,https://en.wikipedia.org/wiki/Mount_Merapi,79
Q40758,Damavand,volcanoes,Point(52.109166666 35.955277777),http://commons.wikimedia.org/wiki/Special:FilePath/981012-Damavand-South-IMG%209861-2.jpg,Iran,https://en.wikipedia.org/wiki/Mount_Damavand,79
Q107635,Baekdu Mountain,volcanoes,Point(128.077222222 41.992777777),http://commons.wikimedia.org/wiki/Special:FilePath/Baitou%20Mountain%20Tianchi.jpg,North Korea,https://en.wikipedia.org/wiki/Mount_Paektu,75
Q845239,Soufrière Hills,volcanoes,Point(-62.183333333 16.716666666),http://commons.wikimedia.org/wiki/Special:FilePath/Soufriere%20Hills.jpg,United Kingdom,https://en.wikipedia.org/wiki/Soufri%C3%A8re_Hills,74
Q168714,Tambora,volcanoes,Point(117.992777777 -8.245277777),http://commons.wikimedia.org/wiki/Special:FilePath/Caldera%20Mt%20Tambora%20Sumbawa%20Indonesia.jpg,Indonesia,https://en.wikipedia.org/wiki/Mount_Tambora,73
Q181157,Popocatépetl,volcanoes,Point(-98.623434 19.023386),http://commons.wikimedia.org/wiki/Special:FilePath/Mexico-Popocatepetl.jpg,Mexico,https://en.wikipedia.org/wiki/Popocat%C3%A9petl,72
Q14831565,Tamu Massif,volcanoes,Point(158.0 33.0),http://commons.wikimedia.org/wiki/Special:FilePath/Tamu%20Massif%2C%20the%20Earth%27s%20largest%20volcano%2C%20about%201%2C000%20Miles%20east%20of%20Japan.jpg,Unknown,https://en.wikipedia.org/wiki/Tamu_Massif,72
Q188982,Mount Erebus,volcanoes,Point(167.283333333 -77.533333333),http://commons.wikimedia.org/wiki/Special:FilePath/Mt%20erebus.jpg,Unknown,https://en.wikipedia.org/wiki/Mount_Erebus,69
Q1451,Pinatubo,volcanoes,Point(120.35 15.13),http://commons.wikimedia.org/wiki/Special:FilePath/Pinatubo%20Crater%20Lake%20%28052005%29.jpg,Philippines,https://en.wikipedia.org/wiki/Mount_Pinatubo,67
Q1026302,Calbuco,volcanoes,Point(-72.611111111 -41.332777777),http://commons.wikimedia.org/wiki/Special:FilePath/Calbuco%2011%20Feb%202010%20zoomed%20in.jpg,Chile,https://en.wikipedia.org/wiki/Calbuco_(volcano),66
Q181476,Cotopaxi volcano,volcanoes,Point(-78.437777777 -0.680555555),http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%B3lcan%20Cotopaxi.jpg,Ecuador,https://en.wikipedia.org/wiki/Cotopaxi,65
Q190562,Mount Cameroon,volcanoes,Point(9.1725 4.216666666),http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Char%20des%20Dieux%20-%20Fako%20Mountain%20-%20Mount%20Cameroon%20National%20Park%20-%20R%C3%A9gion%20du%20Sud-ouest.jpg,Cameroon,https://en.wikipedia.org/wiki/Mount_Cameroon,59
Q937167,Rano Raraku,volcanoes,Point(-109.288888888 -27.121944444),http://commons.wikimedia.org/wiki/Special:FilePath/Rano-Raraku-from-South.jpg,Chile,https://en.wikipedia.org/wiki/Rano_Raraku,54
Q207284,Mount Ruapehu,volcanoes,Point(175.568611111 -39.281666666),http://commons.wikimedia.org/wiki/Special:FilePath/00%201100%20Ruapehu%20volcano.jpg,New Zealand,https://en.wikipedia.org/wiki/Mount_Ruapehu,52
Q233351,Nevado del Ruiz,volcanoes,Point(-75.3225 4.895277777),http://commons.wikimedia.org/wiki/Special:FilePath/Nevado%20del%20Ruiz%201985.jpg,Colombia,https://en.wikipedia.org/wiki/Nevado_del_Ruiz,52
Q1122340,Rincón de la Vieja Volcano,volcanoes,Point(-85.323888888 10.83),http://commons.wikimedia.org/wiki/Special:FilePath/Guanacaste%20National%20Park.jpg,Costa Rica,https://en.wikipedia.org/wiki/Rinc%C3%B3n_de_la_Vieja_Volcano,50
Q152872,Ball's Pyramid,volcanoes,Point(159.251666666 -31.754166666),http://commons.wikimedia.org/wiki/Special:FilePath/Balls%20Pyramid%2C%20Lord%20Howe%20Marine%20Park%201008.jpg,Australia,https://en.wikipedia.org/wiki/Ball%27s_Pyramid,49
Q859376,Volcán de Fuego,volcanoes,Point(-90.880833333 14.474722222),http://commons.wikimedia.org/wiki/Special:FilePath/Volc%C3%A1n%20de%20Fuego%20and%20Acatenango.jpg,Guatemala,https://en.wikipedia.org/wiki/Volc%C3%A1n_de_Fuego,49
Q903,Erta Ale,volcanoes,Point(40.6634 13.603),http://commons.wikimedia.org/wiki/Special:FilePath/ET%20Afar%20asv2018-01%20img98%20way%20to%20Ertale.jpg,Ethiopia,https://en.wikipedia.org/wiki/Erta_Ale,48
Q494645,Hallasan,volcanoes,Point(126.516666666 33.35),http://commons.wikimedia.org/wiki/Special:FilePath/%ED%95%9C%EB%9D%BC%EC%82%B01.jpg,South Korea,https://en.wikipedia.org/wiki/Hallasan,46
Q1513696,Kolumbo,volcanoes,Point(25.491667 36.516667),http://commons.wikimedia.org/wiki/Special:FilePath/Kolumbo%20crater%20NOAA.jpg,Greece,https://en.wikipedia.org/wiki/Kolumbo,46
